Date,Ball,X
104/04/21,S,30
104/04/17,X1,47
104/04/17,X2,45
104/04/17,X3,26
104/04/17,X4,36
104/04/17,X5,33
104/04/17,X6,32
104/04/17,S,39
104/04/14,X1,38
104/04/14,X2,1
104/04/14,X3,48
104/04/14,X4,49
104/04/14,X5,23
104/04/14,X6,22
104/04/14,S,11
104/04/10,X1,44
104/04/10,X2,17
104/04/10,X3,10
104/04/10,X4,11
104/04/10,X5,42
104/04/10,X6,20
104/04/10,S,13
104/04/07,X1,17
104/04/07,X2,47
104/04/07,X3,11
104/04/07,X4,45
104/04/07,X5,19
104/04/07,X6,33
104/04/07,S,4
104/04/03,X1,36
104/04/03,X2,13
104/04/03,X3,43
104/04/03,X4,32
104/04/03,X5,42
104/04/03,X6,40
104/04/03,S,41
104/03/31,X1,2
104/03/31,X2,32
104/03/31,X3,43
104/03/31,X4,13
104/03/31,X5,25
104/03/31,X6,4
104/03/31,S,15
104/03/27,X1,12
104/03/27,X2,36
104/03/27,X3,24
104/03/27,X4,13
104/03/27,X5,18
104/03/27,X6,15
104/03/27,S,39
104/03/24,X1,9
104/03/24,X2,4
104/03/24,X3,6
104/03/24,X4,17
104/03/24,X5,3
104/03/24,X6,24
104/03/24,S,28
104/03/20,X1,4
104/03/20,X2,13
104/03/20,X3,7
104/03/20,X4,29
104/03/20,X5,9
104/03/20,X6,46
104/03/20,S,8
104/03/17,X1,36
104/03/17,X2,42
104/03/17,X3,49
104/03/17,X4,5
104/03/17,X5,32
104/03/17,X6,40
104/03/17,S,1
104/03/13,X1,6
104/03/13,X2,22
104/03/13,X3,9
104/03/13,X4,14
104/03/13,X5,33
104/03/13,X6,16
104/03/13,S,11
104/03/10,X1,11
104/03/10,X2,25
104/03/10,X3,46
104/03/10,X4,47
104/03/10,X5,3
104/03/10,X6,34
104/03/10,S,42
104/03/06,X1,44
104/03/06,X2,22
104/03/06,X3,21
104/03/06,X4,6
104/03/06,X5,37
104/03/06,X6,35
104/03/06,S,29
104/03/03,X1,43
104/03/03,X2,46
104/03/03,X3,41
104/03/03,X4,6
104/03/03,X5,11
104/03/03,X6,4
104/03/03,S,21
104/02/27,X1,2
104/02/27,X2,6
104/02/27,X3,43
104/02/27,X4,38
104/02/27,X5,27
104/02/27,X6,34
104/02/27,S,45
104/02/24,X1,46
104/02/24,X2,39
104/02/24,X3,28
104/02/24,X4,3
104/02/24,X5,48
104/02/24,X6,41
104/02/24,S,9
104/02/23,X1,21
104/02/23,X2,20
104/02/23,X3,43
104/02/23,X4,38
104/02/23,X5,32
104/02/23,X6,14
104/02/23,S,23
104/02/22,X1,6
104/02/22,X2,3
104/02/22,X3,12
104/02/22,X4,37
104/02/22,X5,34
104/02/22,X6,43
104/02/22,S,28
104/02/21,X1,27
104/02/21,X2,17
104/02/21,X3,40
104/02/21,X4,2
104/02/21,X5,11
104/02/21,X6,5
104/02/21,S,20
104/02/20,X1,10
104/02/20,X2,45
104/02/20,X3,29
104/02/20,X4,5
104/02/20,X5,9
104/02/20,X6,28
104/02/20,S,41
104/02/19,X1,25
104/02/19,X2,40
104/02/19,X3,7
104/02/19,X4,49
104/02/19,X5,31
104/02/19,X6,27
104/02/19,S,11
104/02/18,X1,15
104/02/18,X2,27
104/02/18,X3,6
104/02/18,X4,16
104/02/18,X5,3
104/02/18,X6,31
104/02/18,S,14
104/02/17,X1,11
104/02/17,X2,15
104/02/17,X3,23
104/02/17,X4,46
104/02/17,X5,40
104/02/17,X6,3
104/02/17,S,13
104/02/13,X1,25
104/02/13,X2,1
104/02/13,X3,29
104/02/13,X4,9
104/02/13,X5,15
104/02/13,X6,35
104/02/13,S,38
104/02/10,X1,29
104/02/10,X2,14
104/02/10,X3,44
104/02/10,X4,26
104/02/10,X5,15
104/02/10,X6,35
104/02/10,S,9
104/02/06,X1,11
104/02/06,X2,42
104/02/06,X3,5
104/02/06,X4,29
104/02/06,X5,46
104/02/06,X6,36
104/02/06,S,48
104/02/03,X1,30
104/02/03,X2,13
104/02/03,X3,16
104/02/03,X4,18
104/02/03,X5,5
104/02/03,X6,15
104/02/03,S,8
104/01/30,X1,35
104/01/30,X2,14
104/01/30,X3,24
104/01/30,X4,39
104/01/30,X5,3
104/01/30,X6,44
104/01/30,S,28
104/01/27,X1,45
104/01/27,X2,4
104/01/27,X3,27
104/01/27,X4,15
104/01/27,X5,9
104/01/27,X6,21
104/01/27,S,6
104/01/23,X1,20
104/01/23,X2,16
104/01/23,X3,39
104/01/23,X4,42
104/01/23,X5,38
104/01/23,X6,8
104/01/23,S,29
104/01/20,X1,47
104/01/20,X2,35
104/01/20,X3,28
104/01/20,X4,45
104/01/20,X5,9
104/01/20,X6,24
104/01/20,S,48
104/01/16,X1,2
104/01/16,X2,46
104/01/16,X3,17
104/01/16,X4,32
104/01/16,X5,38
104/01/16,X6,28
104/01/16,S,49
104/01/13,X1,46
104/01/13,X2,14
104/01/13,X3,22
104/01/13,X4,37
104/01/13,X5,2
104/01/13,X6,16
104/01/13,S,49
104/01/09,X1,18
104/01/09,X2,7
104/01/09,X3,24
104/01/09,X4,21
104/01/09,X5,23
104/01/09,X6,8
104/01/09,S,11
104/01/06,X1,16
104/01/06,X2,37
104/01/06,X3,43
104/01/06,X4,11
104/01/06,X5,30
104/01/06,X6,29
104/01/06,S,13
104/01/02,X1,31
104/01/02,X2,23
104/01/02,X3,48
104/01/02,X4,29
104/01/02,X5,22
104/01/02,X6,13
104/01/02,S,6
103/12/30,X1,48
103/12/30,X2,49
103/12/30,X3,7
103/12/30,X4,44
103/12/30,X5,32
103/12/30,X6,30
103/12/30,S,45
103/12/26,X1,49
103/12/26,X2,32
103/12/26,X3,42
103/12/26,X4,45
103/12/26,X5,9
103/12/26,X6,27
103/12/26,S,30
103/12/23,X1,32
103/12/23,X2,39
103/12/23,X3,3
103/12/23,X4,31
103/12/23,X5,30
103/12/23,X6,27
103/12/23,S,35
103/12/19,X1,9
103/12/19,X2,1
103/12/19,X3,24
103/12/19,X4,41
103/12/19,X5,32
103/12/19,X6,49
103/12/19,S,40
103/12/16,X1,35
103/12/16,X2,45
103/12/16,X3,34
103/12/16,X4,32
103/12/16,X5,17
103/12/16,X6,28
103/12/16,S,8
103/12/12,X1,24
103/12/12,X2,8
103/12/12,X3,29
103/12/12,X4,32
103/12/12,X5,7
103/12/12,X6,48
103/12/12,S,37
103/12/09,X1,41
103/12/09,X2,23
103/12/09,X3,9
103/12/09,X4,7
103/12/09,X5,43
103/12/09,X6,33
103/12/09,S,24
103/12/05,X1,47
103/12/05,X2,30
103/12/05,X3,11
103/12/05,X4,34
103/12/05,X5,37
103/12/05,X6,18
103/12/05,S,17
103/12/02,X1,11
103/12/02,X2,26
103/12/02,X3,42
103/12/02,X4,13
103/12/02,X5,9
103/12/02,X6,23
103/12/02,S,47
103/11/28,X1,35
103/11/28,X2,44
103/11/28,X3,1
103/11/28,X4,40
103/11/28,X5,10
103/11/28,X6,21
103/11/28,S,36
103/11/25,X1,15
103/11/25,X2,32
103/11/25,X3,16
103/11/25,X4,1
103/11/25,X5,44
103/11/25,X6,48
103/11/25,S,40
103/11/21,X1,3
103/11/21,X2,32
103/11/21,X3,2
103/11/21,X4,34
103/11/21,X5,26
103/11/21,X6,22
103/11/21,S,40
103/11/18,X1,12
103/11/18,X2,20
103/11/18,X3,43
103/11/18,X4,11
103/11/18,X5,28
103/11/18,X6,26
103/11/18,S,6
103/11/14,X1,44
103/11/14,X2,15
103/11/14,X3,41
103/11/14,X4,29
103/11/14,X5,16
103/11/14,X6,34
103/11/14,S,49
103/11/11,X1,18
103/11/11,X2,23
103/11/11,X3,11
103/11/11,X4,36
103/11/11,X5,5
103/11/11,X6,43
103/11/11,S,14
103/11/07,X1,49
103/11/07,X2,25
103/11/07,X3,40
103/11/07,X4,27
103/11/07,X5,19
103/11/07,X6,11
103/11/07,S,33
103/11/04,X1,20
103/11/04,X2,38
103/11/04,X3,3
103/11/04,X4,35
103/11/04,X5,30
103/11/04,X6,41
103/11/04,S,47
103/10/31,X1,14
103/10/31,X2,8
103/10/31,X3,27
103/10/31,X4,49
103/10/31,X5,10
103/10/31,X6,2
103/10/31,S,20
103/10/28,X1,16
103/10/28,X2,32
103/10/28,X3,25
103/10/28,X4,5
103/10/28,X5,37
103/10/28,X6,44
103/10/28,S,21
103/10/24,X1,36
103/10/24,X2,1
103/10/24,X3,20
103/10/24,X4,45
103/10/24,X5,17
103/10/24,X6,37
103/10/24,S,15
103/10/21,X1,31
103/10/21,X2,44
103/10/21,X3,42
103/10/21,X4,28
103/10/21,X5,14
103/10/21,X6,38
103/10/21,S,45
103/10/17,X1,32
103/10/17,X2,36
103/10/17,X3,33
103/10/17,X4,2
103/10/17,X5,20
103/10/17,X6,11
103/10/17,S,39
103/10/14,X1,47
103/10/14,X2,36
103/10/14,X3,20
103/10/14,X4,9
103/10/14,X5,14
103/10/14,X6,10
103/10/14,S,8
103/10/10,X1,11
103/10/10,X2,26
103/10/10,X3,1
103/10/10,X4,24
103/10/10,X5,28
103/10/10,X6,19
103/10/10,S,33
103/10/07,X1,45
103/10/07,X2,40
103/10/07,X3,17
103/10/07,X4,47
103/10/07,X5,18
103/10/07,X6,41
103/10/07,S,29
103/10/03,X1,10
103/10/03,X2,14
103/10/03,X3,19
103/10/03,X4,37
103/10/03,X5,24
103/10/03,X6,35
103/10/03,S,39
103/09/30,X1,49
103/09/30,X2,41
103/09/30,X3,18
103/09/30,X4,47
103/09/30,X5,36
103/09/30,X6,35
103/09/30,S,15
103/09/26,X1,15
103/09/26,X2,19
103/09/26,X3,29
103/09/26,X4,22
103/09/26,X5,37
103/09/26,X6,8
103/09/26,S,39
103/09/23,X1,38
103/09/23,X2,28
103/09/23,X3,20
103/09/23,X4,32
103/09/23,X5,2
103/09/23,X6,11
103/09/23,S,16
103/09/19,X1,6
103/09/19,X2,17
103/09/19,X3,29
103/09/19,X4,2
103/09/19,X5,32
103/09/19,X6,39
103/09/19,S,4
103/09/16,X1,41
103/09/16,X2,19
103/09/16,X3,7
103/09/16,X4,18
103/09/16,X5,16
103/09/16,X6,12
103/09/16,S,45
103/09/12,X1,27
103/09/12,X2,49
103/09/12,X3,2
103/09/12,X4,36
103/09/12,X5,31
103/09/12,X6,23
103/09/12,S,15
103/09/09,X1,42
103/09/09,X2,49
103/09/09,X3,21
103/09/09,X4,41
103/09/09,X5,29
103/09/09,X6,23
103/09/09,S,14
103/09/05,X1,16
103/09/05,X2,25
103/09/05,X3,32
103/09/05,X4,10
103/09/05,X5,36
103/09/05,X6,27
103/09/05,S,45
103/09/02,X1,39
103/09/02,X2,36
103/09/02,X3,43
103/09/02,X4,7
103/09/02,X5,8
103/09/02,X6,42
103/09/02,S,22
103/08/29,X1,39
103/08/29,X2,38
103/08/29,X3,21
103/08/29,X4,23
103/08/29,X5,10
103/08/29,X6,9
103/08/29,S,35
103/08/26,X1,23
103/08/26,X2,32
103/08/26,X3,43
103/08/26,X4,19
103/08/26,X5,1
103/08/26,X6,17
103/08/26,S,9
103/08/22,X1,43
103/08/22,X2,8
103/08/22,X3,23
103/08/22,X4,30
103/08/22,X5,16
103/08/22,X6,31
103/08/22,S,18
103/08/19,X1,12
103/08/19,X2,19
103/08/19,X3,6
103/08/19,X4,7
103/08/19,X5,14
103/08/19,X6,9
103/08/19,S,17
103/08/15,X1,47
103/08/15,X2,46
103/08/15,X3,29
103/08/15,X4,23
103/08/15,X5,18
103/08/15,X6,48
103/08/15,S,5
103/08/12,X1,12
103/08/12,X2,10
103/08/12,X3,6
103/08/12,X4,4
103/08/12,X5,34
103/08/12,X6,45
103/08/12,S,44
103/08/08,X1,32
103/08/08,X2,42
103/08/08,X3,26
103/08/08,X4,45
103/08/08,X5,38
103/08/08,X6,31
103/08/08,S,37
103/08/05,X1,40
103/08/05,X2,11
103/08/05,X3,26
103/08/05,X4,33
103/08/05,X5,4
103/08/05,X6,42
103/08/05,S,34
103/08/01,X1,45
103/08/01,X2,8
103/08/01,X3,21
103/08/01,X4,32
103/08/01,X5,5
103/08/01,X6,23
103/08/01,S,18
103/07/29,X1,47
103/07/29,X2,36
103/07/29,X3,32
103/07/29,X4,31
103/07/29,X5,44
103/07/29,X6,34
103/07/29,S,46
103/07/25,X1,45
103/07/25,X2,30
103/07/25,X3,21
103/07/25,X4,32
103/07/25,X5,5
103/07/25,X6,35
103/07/25,S,26
103/07/22,X1,28
103/07/22,X2,3
103/07/22,X3,13
103/07/22,X4,9
103/07/22,X5,17
103/07/22,X6,42
103/07/22,S,14
103/07/18,X1,19
103/07/18,X2,15
103/07/18,X3,21
103/07/18,X4,2
103/07/18,X5,30
103/07/18,X6,1
103/07/18,S,40
103/07/15,X1,7
103/07/15,X2,32
103/07/15,X3,18
103/07/15,X4,23
103/07/15,X5,48
103/07/15,X6,34
103/07/15,S,13
103/07/11,X1,7
103/07/11,X2,18
103/07/11,X3,30
103/07/11,X4,1
103/07/11,X5,15
103/07/11,X6,14
103/07/11,S,33
103/07/08,X1,33
103/07/08,X2,10
103/07/08,X3,39
103/07/08,X4,22
103/07/08,X5,47
103/07/08,X6,25
103/07/08,S,38
103/07/04,X1,48
103/07/04,X2,14
103/07/04,X3,24
103/07/04,X4,17
103/07/04,X5,27
103/07/04,X6,3
103/07/04,S,28
103/07/01,X1,9
103/07/01,X2,21
103/07/01,X3,48
103/07/01,X4,8
103/07/01,X5,7
103/07/01,X6,6
103/07/01,S,18
103/06/27,X1,35
103/06/27,X2,34
103/06/27,X3,36
103/06/27,X4,27
103/06/27,X5,13
103/06/27,X6,21
103/06/27,S,24
103/06/24,X1,14
103/06/24,X2,40
103/06/24,X3,8
103/06/24,X4,1
103/06/24,X5,12
103/06/24,X6,41
103/06/24,S,15
103/06/20,X1,14
103/06/20,X2,36
103/06/20,X3,12
103/06/20,X4,16
103/06/20,X5,33
103/06/20,X6,47
103/06/20,S,48
103/06/17,X1,3
103/06/17,X2,6
103/06/17,X3,20
103/06/17,X4,48
103/06/17,X5,18
103/06/17,X6,25
103/06/17,S,12
103/06/13,X1,28
103/06/13,X2,32
103/06/13,X3,37
103/06/13,X4,42
103/06/13,X5,4
103/06/13,X6,21
103/06/13,S,16
103/06/10,X1,3
103/06/10,X2,32
103/06/10,X3,11
103/06/10,X4,35
103/06/10,X5,33
103/06/10,X6,28
103/06/10,S,30
103/06/06,X1,41
103/06/06,X2,29
103/06/06,X3,47
103/06/06,X4,49
103/06/06,X5,25
103/06/06,X6,40
103/06/06,S,48
103/06/03,X1,31
103/06/03,X2,32
103/06/03,X3,16
103/06/03,X4,44
103/06/03,X5,35
103/06/03,X6,33
103/06/03,S,46
103/05/30,X1,21
103/05/30,X2,9
103/05/30,X3,17
103/05/30,X4,35
103/05/30,X5,24
103/05/30,X6,30
103/05/30,S,15
103/05/27,X1,26
103/05/27,X2,19
103/05/27,X3,23
103/05/27,X4,10
103/05/27,X5,39
103/05/27,X6,32
103/05/27,S,16
103/05/23,X1,30
103/05/23,X2,11
103/05/23,X3,22
103/05/23,X4,46
103/05/23,X5,17
103/05/23,X6,27
103/05/23,S,15
103/05/20,X1,34
103/05/20,X2,33
103/05/20,X3,30
103/05/20,X4,13
103/05/20,X5,35
103/05/20,X6,6
103/05/20,S,38
103/05/16,X1,45
103/05/16,X2,41
103/05/16,X3,31
103/05/16,X4,42
103/05/16,X5,14
103/05/16,X6,38
103/05/16,S,29
103/05/13,X1,32
103/05/13,X2,20
103/05/13,X3,31
103/05/13,X4,44
103/05/13,X5,29
103/05/13,X6,15
103/05/13,S,23
103/05/09,X1,13
103/05/09,X2,1
103/05/09,X3,27
103/05/09,X4,21
103/05/09,X5,37
103/05/09,X6,11
103/05/09,S,3
103/05/06,X1,10
103/05/06,X2,46
103/05/06,X3,39
103/05/06,X4,35
103/05/06,X5,40
103/05/06,X6,25
103/05/06,S,31
103/05/02,X1,1
103/05/02,X2,25
103/05/02,X3,37
103/05/02,X4,23
103/05/02,X5,7
103/05/02,X6,40
103/05/02,S,12
103/04/29,X1,2
103/04/29,X2,46
103/04/29,X3,9
103/04/29,X4,44
103/04/29,X5,30
103/04/29,X6,27
103/04/29,S,22
103/04/25,X1,46
103/04/25,X2,24
103/04/25,X3,34
103/04/25,X4,4
103/04/25,X5,38
103/04/25,X6,35
103/04/25,S,30
103/04/22,X1,18
103/04/22,X2,37
103/04/22,X3,20
103/04/22,X4,11
103/04/22,X5,12
103/04/22,X6,15
103/04/22,S,42
103/04/18,X1,8
103/04/18,X2,48
103/04/18,X3,15
103/04/18,X4,40
103/04/18,X5,9
103/04/18,X6,44
103/04/18,S,24
103/04/15,X1,26
103/04/15,X2,44
103/04/15,X3,24
103/04/15,X4,8
103/04/15,X5,35
103/04/15,X6,5
103/04/15,S,41
103/04/11,X1,1
103/04/11,X2,3
103/04/11,X3,17
103/04/11,X4,9
103/04/11,X5,12
103/04/11,X6,4
103/04/11,S,15
103/04/08,X1,28
103/04/08,X2,27
103/04/08,X3,17
103/04/08,X4,1
103/04/08,X5,45
103/04/08,X6,14
103/04/08,S,11
103/04/04,X1,8
103/04/04,X2,24
103/04/04,X3,35
103/04/04,X4,37
103/04/04,X5,41
103/04/04,X6,47
103/04/04,S,23
103/04/01,X1,46
103/04/01,X2,18
103/04/01,X3,29
103/04/01,X4,30
103/04/01,X5,47
103/04/01,X6,22
103/04/01,S,6
103/03/28,X1,9
103/03/28,X2,18
103/03/28,X3,23
103/03/28,X4,36
103/03/28,X5,47
103/03/28,X6,35
103/03/28,S,41
103/03/25,X1,19
103/03/25,X2,25
103/03/25,X3,47
103/03/25,X4,42
103/03/25,X5,30
103/03/25,X6,23
103/03/25,S,16
103/03/21,X1,47
103/03/21,X2,26
103/03/21,X3,46
103/03/21,X4,8
103/03/21,X5,31
103/03/21,X6,18
103/03/21,S,20
103/03/18,X1,26
103/03/18,X2,40
103/03/18,X3,35
103/03/18,X4,39
103/03/18,X5,12
103/03/18,X6,28
103/03/18,S,16
103/03/14,X1,47
103/03/14,X2,8
103/03/14,X3,40
103/03/14,X4,41
103/03/14,X5,27
103/03/14,X6,2
103/03/14,S,28
103/03/11,X1,40
103/03/11,X2,20
103/03/11,X3,15
103/03/11,X4,16
103/03/11,X5,13
103/03/11,X6,43
103/03/11,S,14
103/03/07,X1,38
103/03/07,X2,26
103/03/07,X3,6
103/03/07,X4,37
103/03/07,X5,18
103/03/07,X6,30
103/03/07,S,16
103/03/04,X1,43
103/03/04,X2,8
103/03/04,X3,40
103/03/04,X4,35
103/03/04,X5,37
103/03/04,X6,26
103/03/04,S,6
103/02/28,X1,17
103/02/28,X2,24
103/02/28,X3,13
103/02/28,X4,18
103/02/28,X5,32
103/02/28,X6,28
103/02/28,S,37
103/02/25,X1,13
103/02/25,X2,9
103/02/25,X3,5
103/02/25,X4,3
103/02/25,X5,46
103/02/25,X6,12
103/02/25,S,4
103/02/21,X1,11
103/02/21,X2,12
103/02/21,X3,23
103/02/21,X4,40
103/02/21,X5,28
103/02/21,X6,48
103/02/21,S,9
103/02/18,X1,47
103/02/18,X2,19
103/02/18,X3,6
103/02/18,X4,26
103/02/18,X5,32
103/02/18,X6,20
103/02/18,S,35
103/02/14,X1,24
103/02/14,X2,10
103/02/14,X3,48
103/02/14,X4,33
103/02/14,X5,20
103/02/14,X6,19
103/02/14,S,1
103/02/11,X1,15
103/02/11,X2,31
103/02/11,X3,21
103/02/11,X4,6
103/02/11,X5,44
103/02/11,X6,22
103/02/11,S,41
103/02/07,X1,22
103/02/07,X2,5
103/02/07,X3,28
103/02/07,X4,11
103/02/07,X5,21
103/02/07,X6,12
103/02/07,S,25
103/02/04,X1,19
103/02/04,X2,46
103/02/04,X3,32
103/02/04,X4,12
103/02/04,X5,42
103/02/04,X6,8
103/02/04,S,28
103/02/03,X1,2
103/02/03,X2,16
103/02/03,X3,27
103/02/03,X4,30
103/02/03,X5,17
103/02/03,X6,1
103/02/03,S,48
103/02/02,X1,14
103/02/02,X2,45
103/02/02,X3,3
103/02/02,X4,24
103/02/02,X5,19
103/02/02,X6,13
103/02/02,S,5
103/02/01,X1,36
103/02/01,X2,37
103/02/01,X3,13
103/02/01,X4,19
103/02/01,X5,9
103/02/01,X6,6
103/02/01,S,27
103/01/31,X1,38
103/01/31,X2,17
103/01/31,X3,23
103/01/31,X4,49
103/01/31,X5,48
103/01/31,X6,27
103/01/31,S,19
103/01/30,X1,9
103/01/30,X2,22
103/01/30,X3,49
103/01/30,X4,48
103/01/30,X5,45
103/01/30,X6,44
103/01/30,S,8
103/01/28,X1,2
103/01/28,X2,30
103/01/28,X3,7
103/01/28,X4,26
103/01/28,X5,5
103/01/28,X6,1
103/01/28,S,24
103/01/24,X1,4
103/01/24,X2,20
103/01/24,X3,29
103/01/24,X4,41
103/01/24,X5,45
103/01/24,X6,1
103/01/24,S,36
103/01/21,X1,22
103/01/21,X2,43
103/01/21,X3,12
103/01/21,X4,44
103/01/21,X5,38
103/01/21,X6,15
103/01/21,S,9
103/01/17,X1,20
103/01/17,X2,29
103/01/17,X3,13
103/01/17,X4,15
103/01/17,X5,26
103/01/17,X6,36
103/01/17,S,37
103/01/14,X1,11
103/01/14,X2,49
103/01/14,X3,2
103/01/14,X4,45
103/01/14,X5,41
103/01/14,X6,21
103/01/14,S,26
103/01/10,X1,7
103/01/10,X2,19
103/01/10,X3,17
103/01/10,X4,30
103/01/10,X5,37
103/01/10,X6,32
103/01/10,S,3
103/01/07,X1,1
103/01/07,X2,7
103/01/07,X3,25
103/01/07,X4,36
103/01/07,X5,21
103/01/07,X6,35
103/01/07,S,39
103/01/03,X1,11
103/01/03,X2,35
103/01/03,X3,21
103/01/03,X4,18
103/01/03,X5,37
103/01/03,X6,20
103/01/03,S,8
